Name,Hits,Runs,RBIs
Cheryl Townsend,260,64,72
Christina Leon,35,118,18
Cassandra Ward PhD,329,56,11
Dylan Berry,331,47,70
Kara Wood,143,85,44
Joanne Williamson,20,68,98
Jennifer Osborne,135,27,12
Joshua Rogers,255,69,19
Lisa Thompson,256,69,77
Emily Huffman,431,106,28
Lori Jackson,27,92,37
Courtney Day,465,118,43
Jamie Fletcher,121,29,115
Peter Cervantes,19,85,88
Karen King,57,8,15
Laura Smith,60,118,113
Sherry Smith,95,61,63
Jacqueline Sanchez,459,69,64
Mr. Danny Singh,374,57,27
Joel Woods,193,12,33
Mrs. Deborah Bailey,46,36,116
Erik Saunders,500,54,19
Amanda Thompson,63,48,70
Chelsea Thompson,497,76,10
Linda Huffman,344,75,81
Larry Wade,315,74,82
Erin Holloway,226,44,110
Daniel Mayo,394,89,120
Larry Palmer,93,7,95
Kevin Berry,290,97,97
Susan Leonard,114,12,76
Philip Morris,466,23,79
James Thomas,398,47,5
Jerry Wagner,402,42,65
Shannon Harris,337,100,117
Marcus Tyler,265,91,85
Caleb Roach,24,70,93
Barbara Crawford,444,112,59
Ashley Benitez,367,51,57
Dr. Ashley Esparza PhD,28,78,51
Norma Smith,484,41,81
Lauren Dixon,200,77,47
Tommy Mcdonald,189,68,117
Christopher Jimenez,189,47,115
Lisa Marquez,117,36,101
Patrick Ponce,66,107,94
Jennifer White,210,109,120
Renee Romero,269,55,117
Daniel Armstrong,357,107,85
Jordan Price,87,11,31
Henry Rose,291,50,48
Dr. Tiffany Owens MD,465,50,69
Kimberly Robertson,499,118,64
Lisa Powers,55,114,11
David Hooper,328,9,59
Jason Jackson,489,108,54
Eileen Vincent,201,25,115
Cindy Thompson,114,67,12
Christopher Marsh,197,15,63
Andre Brennan,485,20,10
Olivia Munoz,212,61,29
Virginia Mccormick,407,83,11
Bradley Mckay,160,37,96
Glen Schmidt,393,89,84
Andrea Duran,189,33,110
Patrick Johnson,388,70,116
Shane Diaz,47,114,83
Brenda Price,66,55,72
James Kaiser,297,105,59
Bryan Brown,201,99,9
Samantha Leblanc,150,41,21
Mrs. Jennifer Lawson,163,114,100
Loretta Jackson,250,118,84
David Smith,443,49,67
Curtis Wilkinson,439,25,105
Michael Stevens,372,97,106
Casey Williams,221,71,38
Derek Johnson,42,82,116
Kurt Figueroa,467,79,53
Benjamin Hill,462,51,32
Margaret Nguyen,211,30,61
Daniel Zimmerman DVM,40,44,23
Heather Austin,337,59,67
Jason Vargas,59,37,114
Brandi Wiggins,310,25,116
Jonathan Petersen,36,109,103
Monica Flores,444,72,5
Scott Allen,494,115,102
Jeffrey Coleman,337,86,83
James Zamora,248,20,32
Mark Brown,21,35,34
Stephen Phillips,466,8,112
Steven Thompson,30,110,22
Bruce Reese,207,29,10
Leah Nguyen,177,36,111
Leslie Mitchell,28,117,82
Nicholas James,21,119,33
James Peterson,149,38,99
John Ramirez,211,35,103
Bryce Williams,227,45,32
Alexis Smith,159,9,6
Brenda Owens,383,115,108
Benjamin Stewart,493,12,57
William Williams,364,113,21
Nathan Hernandez,394,13,71
John Williams,189,96,69
Donald Fisher,228,86,7
Rebecca Wallace MD,483,13,9
William Walton,375,31,26
Paul Ortiz,334,10,106
Janet Moore,142,60,30
Amy Wheeler,443,46,15
Kristy Lawson,83,72,50
Matthew Harris,74,68,66
Kimberly Foster,384,57,117
Dawn Macdonald,152,59,16
Sandy Odom,243,119,80
Arthur Torres,96,30,97
Matthew Miller,270,72,93
Jennifer Reese,80,94,105
Daniel Fowler,303,84,51
Jeffrey Dominguez,57,42,108
Sean Cruz,162,111,115
Kimberly Walker,344,85,114
Carrie Smith,492,43,11
Kim Booker,47,96,32
Michael Anderson,61,8,58
Cynthia Garcia,261,100,87
Randy Lozano,281,30,101
David Jones,71,72,66
Daniel Castillo,282,102,37
Nathan Jones,143,17,29
Angela Reid,485,68,10
Ashley Little,306,35,23
Nathan White,28,61,76
Christian Young,163,13,43
Ruben Bray,79,86,47
Nicholas Johnson,267,85,17
Bradley Ortiz,347,66,71
David Cunningham,437,37,34
Edward Hill,310,51,63
Stephanie Bowman,217,34,60
Shannon Hopkins,83,48,88
Timothy Butler,281,23,7
Jamie Harris,209,64,47
John Herman,316,83,27
Tammy Ford,305,110,92
Tina Baker,462,45,78
Phillip Santiago,204,46,37
Pamela Galvan,92,54,41
Deborah Lynch,188,71,118
Craig Farmer,59,14,30
Karen Robinson,231,94,84
Daniel Sanchez,254,13,115
John Carlson,495,60,13
Alexander Cole,212,86,17
Dawn Johnson,54,64,96
Steven Ayers,25,11,108
Ashley Monroe,311,78,41
Nicholas Figueroa,88,32,60
Nicole Phillips,406,34,31
Jill Young,451,66,81
Randy Schaefer,212,106,115
Angela Barnes,293,114,103
Roy Owen,19,13,113
David Morales,191,75,85
Gary Gutierrez,285,111,27
Kevin King,235,54,37
Shannon Hunt,449,69,101
Gina Gray,259,54,90
Kristen George,362,86,101
Lisa Walker,106,32,9
Brian Smith,37,78,118
Stephanie Henderson,409,38,14
Stacey Norton,98,38,18
Laura Bishop,141,14,8
Carolyn Gonzalez,197,61,30
Hannah Mcfarland,456,106,37
Brittany Scott,51,119,58
Brooke Glenn,108,90,73
Valerie Wells,426,115,39
Karen Hall,428,20,8
Tammy Shannon,414,68,42
Anita Allen,311,94,102
Jason Arnold MD,211,109,94
Robert Berg,470,56,117
Cheryl Jones PhD,400,69,60
Gregory Ramsey MD,98,98,115
Steven Johnson,491,65,14
Nicole Moore,408,13,19
Christopher Matthews,482,37,84
Christina Lowe,371,58,10
Mr. Patrick Garrison MD,124,8,85
Lance Nguyen,377,118,53
James Knox,332,111,111
Ronnie Lam,353,111,70
Randy Wyatt,289,63,42
David Bradshaw,189,21,82
Ms. Briana Martinez,241,49,48
Sheri Romero,214,79,110
Michele Martinez,256,29,56
Michael Johnson,161,68,44
Shawn Sharp,98,60,12
Kevin Harrington,343,25,76
Kathryn Chavez,245,85,89
Timothy Wong,330,24,11
Logan Johnson,22,19,86
Nicole Orr,476,64,45
April Gallagher,163,110,119
Brandon Mccarthy,184,81,118
Lucas Gibson,189,119,95
